Contribution,Annotation 1,Annotation 2
"we survey the state of the art in constructing author profiling corpora for the first time, compiling a taxonomy of construction strategies applied.",Theory Proposal,Theory Proposal
"we show that in the multihop HotpotQA dataset, the examples often contain reasoning shortcuts through which models can directly locate the answer by word-matching the question with a sentence in the context.",Performance Evaluation,Performance Evaluation
"we perform a replication and a series of reproductions. These techniques were until recently quite rare in this field, despite the inherently repeatable nature of most natural language processing experiments.",Theory Proposal,Theory Proposal
We propose alternative evaluation metrics based on example difficulty and provide a reference implementation.,New Algorithm/ Method,New Algorithm/ Method
we apply a different analysis based on intermediate representation erasure to assess whether attention weights can instead be relied upon to explain the relative importance of the inputs to the attention layer itself.,New Algorithm/ Method,New Algorithm/ Method
"we propose to apply RSA to neural representations of strings from a language on one side, and to structured symbolic representations of these strings on the other side.",Theory Proposal,Theory Proposal
"we empirically show that our approach is competitive with previous work and that HardKuma has further applications,",New Algorithm/ Method,New Algorithm/ Method
We show how pre-trained BERT models can also be used and fine-tuned as the decoder in a language generation task.,Theory Proposal,Theory Proposal
we focus on the multilingual transfer setting where training data in multiple source languages is leveraged to further boost target language performance.,New Algorithm/ Method,New Algorithm/ Method
we investigate the problem of biomedical name embedding and its applications. We pay attention to the similarity between semantically related names as well as the names of the same concept.,Theory Proposal,Theory Proposal
we have manually annotated 100 sentences from the Turkish translation of the novel “The Little Prince” with AMRs to describe the differences between these annotations and their English counterparts,Theory Proposal,Theory Proposal
Our goal is to develop robust ASR systems for pathological speech and incorporate the ASR technology to detect their speech intelligibility problems.,New Algorithm/ Method,New Algorithm/ Method
The first is to provide a formal definition of the notion of informativeness applied to both sentential context (as a whole) and context words (taken individually).,Theory Proposal,Theory Proposal
"we show that ELMo models can be successfully fine-tuned on a small in-domain corpus, bringing significant improvements to strategies involving contextual embeddings.",Model Optimization,Model Optimization
"we apply and compare simple shallow capsule networks for hierarchical multi-label text classification and show that they can perform superior to other neural networks, such as CNNs and LSTMs, and non-neural network architectures such as SVMs.",Theory Proposal,Theory Proposal
